Provisional designation,"Absolute magnitude, H",Distance ER,Distance LD,Distance km,Distance AU,Refernce,Ref URL,,,,,,,,,
2004 RU109,26.5,57.62,0.9574,368011,0.00246,MPEC 2004-R63,http://www.minorplanetcenter.net/mpec/K04/K04R63.html,,,,,,,,,
2018 XA4,29.1,57.85,0.9613,369507,0.00247,MPEC 2018-X11,http://www.minorplanetcenter.net/mpec/K18/K18X11.html,,,,,,,,,
2008 CK70,25.3,58.09,0.9651,371003,0.00248,MPEC 2008-C69,http://www.minorplanetcenter.net/mpec/K08/K08C69.html,,,,,,,,,
2013 PJ10,24.6,58.09,0.9651,371003,0.00248,MPEC 2014-G72,http://www.minorplanetcenter.net/mpec/K14/K14G72.html,,,,,,,,,
2009 FK,28.2,58.79,0.9768,375491,0.00251,MPEC 2009-F15,http://www.minorplanetcenter.net/mpec/K09/K09F15.html,,,,,,,,,
2013 TL127,26.7,59.02,0.9807,376987,0.00252,MPEC 2013-U01,http://www.minorplanetcenter.net/mpec/K13/K13U01.html,,,,,,,,,
2018 VX1,27.6,59.26,0.9846,378483,0.00253,MPEC 2018-V13,http://www.minorplanetcenter.net/mpec/K18/K18V13.html,,,,,,,,,
2010 JL88,26.8,60.2,1.0002,384467,0.00257,MPEC 2010-K07,http://www.minorplanetcenter.net/mpec/K10/K10K07.html,,,,,,,,,
2016 SW3,28.3,60.2,1.0002,384467,0.00257,MPEC 2016-S92,http://www.minorplanetcenter.net/mpec/K16/K16S92.html,,,,,,,,,
2015 TQ21,27.4,60.66,1.008,387458,0.00259,MPEC 2015-V02,http://www.minorplanetcenter.net/mpec/K15/K15V02.html,,,,,,,,,
2017 MF,26.6,60.9,1.0118,388954,0.0026,MPEC 2017-M20,http://www.minorplanetcenter.net/mpec/K17/K17M20.html,,,,,,,,,
2011 YQ1,25.6,61.37,1.0196,391946,0.00262,MPEC 2011-Y10,http://www.minorplanetcenter.net/mpec/K11/K11Y10.html,,,,,,,,,
2019 ED1,27.6,61.37,1.0196,391946,0.00262,MPEC 2019-E53,http://www.minorplanetcenter.net/mpec/K19/K19E53.html,,,,,,,,,
2017 DV36,27.9,61.6,1.0235,393442,0.00263,MPEC 2017-D92,http://www.minorplanetcenter.net/mpec/K17/K17D92.html,,,,,,,,,
2017 BJ30,26.7,61.83,1.0274,394938,0.00264,MPEC 2017-C14,http://www.minorplanetcenter.net/mpec/K17/K17C14.html,,,,,,,,,
1993 HD,25.1,62.3,1.0352,397930,0.00266,MPO 242994,,,,,,,,,,
2009 DT43,26.7,62.3,1.0352,397930,0.00266,MPEC 2009-D74,http://www.minorplanetcenter.net/mpec/K09/K09D74.html,,,,,,,,,
2002 GQ,26.3,66.05,1.0975,421866,0.00282,MPEC 2002-G16,http://www.minorplanetcenter.net/mpec/K02/K02G16.html,,,,,,,,,
2010 TG19,24,66.99,1.113,427850,0.00286,MPEC 2010-T52,http://www.minorplanetcenter.net/mpec/K10/K10T52.html,,,,,,,,,
2018 NH,24.7,67.46,1.1208,430842,0.00288,MPEC 2018-N17,http://www.minorplanetcenter.net/mpec/K18/K18N17.html,,,,,,,,,
2010 GA6,26,67.92,1.1286,433834,0.0029,MPEC 2010-G23,http://www.minorplanetcenter.net/mpec/K10/K10G23.html,,,,,,,,,
2008 LD,28.9,68.16,1.1325,435330,0.00291,MPEC 2008-L12,http://www.minorplanetcenter.net/mpec/K08/K08L12.html,,,,,,,,,
2014 SN142,28.2,68.63,1.1403,438322,0.00293,MPEC 2014-S55,http://www.minorplanetcenter.net/mpec/K14/K14S55.html,,,,,,,,,
2016 EG1,29.1,68.63,1.1403,438322,0.00293,MPEC 2016-E44,http://www.minorplanetcenter.net/mpec/K16/K16E44.html,,,,,,,,,
2013 RZ5,28.4,69.1,1.1481,441314,0.00295,MPEC 2013-R32,http://www.minorplanetcenter.net/mpec/K13/K13R32.html,,,,,,,,,
2015 HM10,23.6,69.1,1.1481,441314,0.00295,MPEC 2015-R37,http://www.minorplanetcenter.net/mpec/K15/K15R37.html,,,,,,,,,
2008 FP32,27.7,69.8,1.1597,445802,0.00298,MPEC 2009-F99,http://www.minorplanetcenter.net/mpec/K09/K09F99.html,,,,,,,,,
2013 EN20,29.1,70.03,1.1636,447298,0.00299,MPEC 2013-E36,http://www.minorplanetcenter.net/mpec/K13/K13E36.html,,,,,,,,,
2016 LE10,27.1,71.2,1.1831,454778,0.00304,MPEC 2016-L96,http://www.minorplanetcenter.net/mpec/K16/K16L96.html,,,,,,,,,
2014 HJ196,29.2,72.37,1.2025,462257,0.00309,MPEC 2014-Y75,http://www.minorplanetcenter.net/mpec/K14/K14Y75.html,,,,,,,,,
2011 SO189,26.5,72.61,1.2064,463753,0.0031,MPEC 2011-S106,http://www.minorplanetcenter.net/mpec/K11/K11SA6.html,,,,,,,,,
2009 SN103,27.7,72.84,1.2103,465249,0.00311,MPEC 2009-S100,http://www.minorplanetcenter.net/mpec/K09/K09SA0.html,,,,,,,,,
2016 TJ17,25.4,73.55,1.222,469737,0.00314,MPEC 2016-U68,http://www.minorplanetcenter.net/mpec/K16/K16U68.html,,,,,,,,,
2016 VP1,27.2,74.01,1.2298,472729,0.00316,MPEC 2016-V50,http://www.minorplanetcenter.net/mpec/K16/K16V50.html,,,,,,,,,
2016 FB13,26.6,74.25,1.2337,474225,0.00317,MPEC 2016-G77,http://www.minorplanetcenter.net/mpec/K16/K16G77.html,,,,,,,,,
2006 SO198,23.9,74.48,1.2376,475721,0.00318,MPEC 2006-S106,http://www.minorplanetcenter.net/mpec/K06/K06SA6.html,,,,,,,,,
2007 EO88,26.7,75.65,1.257,483201,0.00323,MPEC 2007-F18,http://www.minorplanetcenter.net/mpec/K07/K07F18.html,,,,,,,,,
2016 NA,26.9,75.65,1.257,483201,0.00323,MPEC 2016-N10,http://www.minorplanetcenter.net/mpec/K16/K16N10.html,,,,,,,,,
2017 VC14,28.5,75.65,1.257,483201,0.00323,MPEC 2017-W16,http://www.minorplanetcenter.net/mpec/K17/K17W16.html,,,,,,,,,
2011 AE3,28,75.89,1.2609,484697,0.00324,MPEC 2011-A17,http://www.minorplanetcenter.net/mpec/K11/K11A17.html,,,,,,,,,
2013 BL18,25.9,76.59,1.2726,489185,0.00327,MPEC 2013-L66,http://www.minorplanetcenter.net/mpec/K13/K13L66.html,,,,,,,,,
2015 TB145,20,76.59,1.2726,489185,0.00327,MPEC 2016-R34,http://www.minorplanetcenter.net/mpec/K16/K16R34.html,,,,,,,,,
2014 HJ197,30.2,77.29,1.2843,493673,0.0033,MPEC 2014-Y75,http://www.minorplanetcenter.net/mpec/K14/K14Y75.html,,,,,,,,,
2019 HR2,28.9,77.29,1.2843,493673,0.0033,MPEC 2019-H66,http://www.minorplanetcenter.net/mpec/K19/K19H66.html,,,,,,,,,
2000 LG6,29,77.76,1.2921,496665,0.00332,MPEC 2000-L28,http://www.minorplanetcenter.net/mpec/K00/K00L28.html,,,,,,,,,
2013 VN5,27.4,78.7,1.3076,502649,0.00336,MPO 275430,,,,,,,,,,
2018 PY23,27.8,79.17,1.3154,505641,0.00338,MPEC 2018-Q29,http://www.minorplanetcenter.net/mpec/K18/K18Q29.html,,,,,,,,,
2013 GW38,28.4,79.4,1.3193,507137,0.00339,MPEC 2013-G46,http://www.minorplanetcenter.net/mpec/K13/K13G46.html,,,,,,,,,
2006 BA,27.6,79.64,1.3232,508633,0.0034,MPEC 2006-B10,http://www.minorplanetcenter.net/mpec/K06/K06B10.html,,,,,,,,,
2017 KH5,27.6,79.64,1.3232,508633,0.0034,MPEC 2017-K57,http://www.minorplanetcenter.net/mpec/K17/K17K57.html,,,,,,,,,
2016 SF1,24.7,79.87,1.3271,510129,0.00341,MPEC 2016-T71,http://www.minorplanetcenter.net/mpec/K16/K16T71.html,,,,,,,,,
2010 VW194,26.3,81.04,1.3465,517609,0.00346,MPEC 2010-W04,http://www.minorplanetcenter.net/mpec/K10/K10W04.html,,,,,,,,,
2017 FY101,27.2,81.04,1.3465,517609,0.00346,MPEC 2017-F20,http://www.minorplanetcenter.net/mpec/K17/K17F20.html,,,,,,,,,
2017 WT,25.8,81.28,1.3504,519105,0.00347,MPEC 2017-W61,http://www.minorplanetcenter.net/mpec/K17/K17W61.html,,,,,,,,,
2014 HV2,25.9,81.74,1.3582,522097,0.00349,MPEC 2014-H71,http://www.minorplanetcenter.net/mpec/K14/K14H71.html,,,,,,,,,
2013 PG10,27.8,81.98,1.3621,523593,0.0035,MPEC 2013-P37,http://www.minorplanetcenter.net/mpec/K13/K13P37.html,,,,,,,,,
2008 ED8,24.3,82.45,1.3699,526585,0.00352,MPEC 2008-E72,http://www.minorplanetcenter.net/mpec/K08/K08E72.html,,,,,,,,,
2002 NY40,18.9,82.68,1.3738,528080,0.00353,MPEC 2002-O17,http://www.minorplanetcenter.net/mpec/K02/K02O17.html,,,,,,,,,
2017 WT28,28.1,82.91,1.3777,529576,0.00354,MPEC 2017-X13,http://www.minorplanetcenter.net/mpec/K17/K17X13.html,,,,,,,,,
2014 FA7,26.7,83.62,1.3893,534064,0.00357,MPEC 2014-F58,http://www.minorplanetcenter.net/mpec/K14/K14F58.html,,,,,,,,,
2018 NM,26.4,83.85,1.3932,535560,0.00358,MPEC 2018-N21,http://www.minorplanetcenter.net/mpec/K18/K18N21.html,,,,,,,,,
2015 FU284,28.3,85.02,1.4127,543040,0.00363,MPEC 2015-F15,http://www.minorplanetcenter.net/mpec/K15/K15F15.html,,,,,,,,,
2015 RU178,27.8,85.26,1.4166,544536,0.00364,MPEC 2015-S64,http://www.minorplanetcenter.net/mpec/K15/K15S64.html,,,,,,,,,
2019 CY5,26.1,85.49,1.4205,546032,0.00365,MPEC 2019-D12,http://www.minorplanetcenter.net/mpec/K19/K19D12.html,,,,,,,,,
2019 AB,26.5,85.73,1.4244,547528,0.00366,MPEC 2019-A27,http://www.minorplanetcenter.net/mpec/K19/K19A27.html,,,,,,,,,
2003 DY15,26.2,85.96,1.4283,549024,0.00367,MPEC 2003-E02,http://www.minorplanetcenter.net/mpec/K03/K03E02.html,,,,,,,,,
2018 WY1,28.3,86.9,1.4438,555008,0.00371,MPEC 2018-W84,http://www.minorplanetcenter.net/mpec/K18/K18W84.html,,,,,,,,,
2015 YQ1,28.1,87.13,1.4477,556504,0.00372,MPEC 2015-Y84,http://www.minorplanetcenter.net/mpec/K15/K15Y84.html,,,,,,,,,
2018 EB4,25.5,87.6,1.4555,559496,0.00374,MPEC 2018-E98,http://www.minorplanetcenter.net/mpec/K18/K18E98.html,,,,,,,,,
2009 YS,25.3,87.83,1.4594,560992,0.00375,MPEC 2009-Y31,http://www.minorplanetcenter.net/mpec/K09/K09Y31.html,,,,,,,,,
2017 AS4,26.8,87.83,1.4594,560992,0.00375,MPEC 2017-A76,http://www.minorplanetcenter.net/mpec/K17/K17A76.html,,,,,,,,,
2004 MR1,25.6,88.54,1.4711,565480,0.00378,MPEC 2004-M28,http://www.minorplanetcenter.net/mpec/K04/K04M28.html,,,,,,,,,
2008 CF22,25.9,88.54,1.4711,565480,0.00378,MPEC 2008-C57,http://www.minorplanetcenter.net/mpec/K08/K08C57.html,,,,,,,,,
2016 WQ3,28.8,89,1.4789,568472,0.0038,MPEC 2016-X96,http://www.minorplanetcenter.net/mpec/K16/K16X96.html,,,,,,,,,
2012 DJ54,29,89.24,1.4827,569968,0.00381,MPEC 2012-D104,http://www.minorplanetcenter.net/mpec/K12/K12DA4.html,,,,,,,,,
2017 SA21,28.2,89.47,1.4866,571464,0.00382,MPEC 2017-T09,http://www.minorplanetcenter.net/mpec/K17/K17T09.html,,,,,,,,,
2018 RE5,27.4,89.47,1.4866,571464,0.00382,MPEC 2018-R14,http://www.minorplanetcenter.net/mpec/K18/K18R14.html,,,,,,,,,
2016 CH30,28,90.41,1.5022,577448,0.00386,MPEC 2016-C88,http://www.minorplanetcenter.net/mpec/K16/K16C88.html,,,,,,,,,
2018 RB6,25.7,90.88,1.51,580440,0.00388,MPEC 2018-R16,http://www.minorplanetcenter.net/mpec/K18/K18R16.html,,,,,,,,,
2011 FQ21,28.2,92.75,1.5411,592408,0.00396,MPEC 2011-F50,http://www.minorplanetcenter.net/mpec/K08/K11F50.html,,,,,,,,,
2012 VD5,26.3,92.75,1.5411,592408,0.00396,MPEC 2012-V13,http://www.minorplanetcenter.net/mpec/K12/K12V13.html,,,,,,,,,
2019 FB1,27.9,92.75,1.5411,592408,0.00396,MPEC 2019-F13,http://www.minorplanetcenter.net/mpec/K19/K19F13.html,,,,,,,,,
2017 QM33,27.8,93.69,1.5567,598391,0.004,MPEC 2017-Q15,http://www.minorplanetcenter.net/mpec/K17/K17Q15.html,,,,,,,,,
2006 XR4,26.2,93.92,1.5606,599887,0.00401,MPEC 2006-Y08,http://www.minorplanetcenter.net/mpec/K06/K06Y08.html,,,,,,,,,
2018 LE1,27.4,96.03,1.5956,613351,0.0041,MPEC 2018-L24,http://www.minorplanetcenter.net/mpec/K18/K18L24.html,,,,,,,,,
2018 XC4,26.3,96.27,1.5995,614847,0.00411,MPEC 2018-X12,http://www.minorplanetcenter.net/mpec/K18/K18X12.html,,,,,,,,,
2014 YD15,26.8,96.5,1.6034,616343,0.00412,MPEC 2014-Y75,http://www.minorplanetcenter.net/mpec/K14/K14Y75.html,,,,,,,,,
2008 EA9,27.7,96.97,1.6112,619335,0.00414,MPEC 2008-E79,http://www.minorplanetcenter.net/mpec/K08/K08E79.html,,,,,,,,,
2013 UB,26.6,96.97,1.6112,619335,0.00414,MPEC 2014-Q17,http://www.minorplanetcenter.net/mpec/K14/K14Q17.html,,,,,,,,,
2014 HG196,26.6,96.97,1.6112,619335,0.00414,MPEC 2014-Y75,http://www.minorplanetcenter.net/mpec/K14/K14Y75.html,,,,,,,,,
2007 TL16,26,97.67,1.6228,623823,0.00417,MPEC 2007-T53,http://www.minorplanetcenter.net/mpec/K07/K07T53.html,,,,,,,,,
2009 FD,22.1,97.67,1.6228,623823,0.00417,MPEC 2009-G01,http://www.minorplanetcenter.net/mpec/K09/K09G01.html,,,,,,,,,
2018 PP9,25.8,98.14,1.6306,626815,0.00419,MPEC 2018-P50,http://www.minorplanetcenter.net/mpec/K18/K18P50.html,,,,,,,,,
2015 BC,24,98.84,1.6423,631303,0.00422,MPEC 2015-C10,http://www.minorplanetcenter.net/mpec/K15/K15C10.html,,,,,,,,,
2015 VN64,27.5,98.84,1.6423,631303,0.00422,MPEC 2015-V14,http://www.minorplanetcenter.net/mpec/K15/K15V14.html,,,,,,,,,
2015 BP509,27.8,100.72,1.6734,643271,0.0043,MPEC 2015-B13,http://www.minorplanetcenter.net/mpec/K15/K15B13.html,,,,,,,,,
2009 BK58,25.8,101.65,1.689,649255,0.00434,MPEC 2009-B81,http://www.minorplanetcenter.net/mpec/K09/K09B81.html,,,,,,,,,
2019 FE,24.1,102.59,1.7046,655239,0.00438,MPEC 2019-F46,http://www.minorplanetcenter.net/mpec/K19/K19F46.html,,,,,,,,,
2018 WS,26.5,102.82,1.7085,656735,0.00439,MPEC 2018-W38,http://www.minorplanetcenter.net/mpec/K18/K18W38.html,,,,,,,,,
2012 TQ231,27.6,103.06,1.7124,658231,0.0044,MPEC 2012-U11,http://www.minorplanetcenter.net/mpec/K12/K12U11.html,,,,,,,,,
2013 VL,27.7,103.29,1.7163,659727,0.00441,MPO 275426,,,,,,,,,,
2012 XH112,26.9,103.53,1.7201,661223,0.00442,MPEC 2012-X75,http://www.minorplanetcenter.net/mpec/K12/K12X75.html,,,,,,,,,
2012 BW13,27.1,103.99,1.7279,664215,0.00444,MPEC 2012-B34,http://www.minorplanetcenter.net/mpec/K12/K12B34.html,,,,,,,,,
2010 XM56,24.9,104.46,1.7357,667207,0.00446,MPEC 2010-X97,http://www.minorplanetcenter.net/mpec/K10/K10X97.html,,,,,,,,,
2006 MB14,25.4,104.93,1.7435,670198,0.00448,MPEC 2006-N04,http://www.minorplanetcenter.net/mpec/K06/K06N04.html,,,,,,,,,
2015 HA177,27.7,104.93,1.7435,670198,0.00448,MPEC 2015-J31,http://www.minorplanetcenter.net/mpec/K15/K15J31.html,,,,,,,,,
2009 WW7,28.9,105.4,1.7513,673190,0.0045,MPEC 2009-W51,http://www.minorplanetcenter.net/mpec/K09/K09W51.html,,,,,,,,,
2007 EK26,25.1,107.27,1.7824,685158,0.00458,MPEC 2007-E62,http://www.minorplanetcenter.net/mpec/K07/K07E62.html,,,,,,,,,
2010 RM80,27.8,108.21,1.798,691142,0.00462,MPEC 2010-R94,http://www.minorplanetcenter.net/mpec/K10/K10R94.html,,,,,,,,,
2010 JA,27,109.15,1.8135,697126,0.00466,MPEC 2010-J14,http://www.minorplanetcenter.net/mpec/K10/K10J14.html,,,,,,,,,
2015 WJ2,26,109.15,1.8135,697126,0.00466,MPEC 2015-W70,http://www.minorplanetcenter.net/mpec/K15/K15W70.html,,,,,,,,,
2016 LY10,28.5,109.15,1.8135,697126,0.00466,MPEC 2017-F53,http://www.minorplanetcenter.net/mpec/K17/K17F53.html,,,,,,,,,
2013 FU13,27.4,109.38,1.8174,698622,0.00467,MPEC 2014-H07,http://www.minorplanetcenter.net/mpec/K14/K14H07.html,,,,,,,,,
2016 DN2,26.9,109.62,1.8213,700118,0.00468,MPEC 2016-E56,http://www.minorplanetcenter.net/mpec/K16/K16E56.html,,,,,,,,,
2018 AT2,27.8,110.08,1.8291,703110,0.0047,MPEC 2018-A60,http://www.minorplanetcenter.net/mpec/K18/K18A60.html,,,,,,,,,
2015 VK1,26.6,110.32,1.833,704606,0.00471,MPEC 2015-X22,http://www.minorplanetcenter.net/mpec/K15/K15X22.html,,,,,,,,,
2018 RE3,27.5,110.32,1.833,704606,0.00471,MPEC 2018-R10,http://www.minorplanetcenter.net/mpec/K18/K18R10.html,,,,,,,,,
2018 AU18,27.5,111.26,1.8486,710590,0.00475,MPEC 2018-D42,http://www.minorplanetcenter.net/mpec/K18/K18D42.html,,,,,,,,,
2016 EG28,27.9,111.49,1.8525,712086,0.00476,MPEC 2016-K32,http://www.minorplanetcenter.net/mpec/K16/K16K32.html,,,,,,,,,
2019 DS1,25.6,113.83,1.8914,727046,0.00486,MPEC 2019-J02,http://www.minorplanetcenter.net/mpec/K19/K19J02.html,,,,,,,,,
2012 WR10,28.8,114.53,1.9031,731534,0.00489,MPEC 2012-W41,http://www.minorplanetcenter.net/mpec/K12/K12W41.html,,,,,,,,,
2006 HF6,24.2,114.77,1.9069,733030,0.0049,MPEC 2006-H25,http://www.minorplanetcenter.net/mpec/K06/K06H25.html,,,,,,,,,
2013 AP72,26.6,115.47,1.9186,737517,0.00493,MPEC 2013-B01,http://www.minorplanetcenter.net/mpec/K13/K13B01.html,,,,,,,,,
2017 TM4,27.7,115.71,1.9225,739013,0.00494,MPEC 2017-T95,http://www.minorplanetcenter.net/mpec/K17/K17T95.html,,,,,,,,,
2019 GS19,25.6,116.41,1.9342,743501,0.00497,MPEC 2019-G17,http://www.minorplanetcenter.net/mpec/K19/K19G17.html,,,,,,,,,
2014 ST223,27.6,117.11,1.9459,747989,0.005,MPEC 2014-X46,http://www.minorplanetcenter.net/mpec/K14/K14X46.html,,,,,,,,,
2015 YM1,28.4,117.11,1.9459,747989,0.005,MPEC 2016-O28,http://www.minorplanetcenter.net/mpec/K16/K16O28.html,,,,,,,,,
2010 TD,26.8,117.58,1.9536,750981,0.00502,MPEC 2010-T09,http://www.minorplanetcenter.net/mpec/K10/K10T09.html,,,,,,,,,
2009 XR1,29.2,118.05,1.9614,753973,0.00504,MPEC 2009-X36,http://www.minorplanetcenter.net/mpec/K09/K09X36.html,,,,,,,,,
2012 HP13,24.2,118.98,1.977,759957,0.00508,MPEC 2012-H60,http://www.minorplanetcenter.net/mpec/K12/K12H60.html,,,,,,,,,
2017 WB1,27.8,119.22,1.9809,761453,0.00509,MPEC 2017-W76,http://www.minorplanetcenter.net/mpec/K17/K17W76.html,,,,,,,,,
2018 VS8,27.1,119.22,1.9809,761453,0.00509,MPEC 2018-V18,http://www.minorplanetcenter.net/mpec/K18/K18V18.html,,,,,,,,,
2019 FU1,27.3,120.86,2.0081,771925,0.00516,MPEC 2019-F14,http://www.minorplanetcenter.net/mpec/K19/K19F14.html,,,,,,,,,
2014 SB224,26.3,121.33,2.0159,774917,0.00518,MPEC 2014-S12,http://www.minorplanetcenter.net/mpec/K14/K14S12.html,,,,,,,,,
2004 UT1,26.6,121.8,2.0237,777909,0.0052,MPEC 2004-U25,http://www.minorplanetcenter.net/mpec/K04/K04U25.html,,,,,,,,,
2012 KC45,29.4,121.8,2.0237,777909,0.0052,MPEC 2012-K73,http://www.minorplanetcenter.net/mpec/K12/K12K73.html,,,,,,,,,
2018 EV3,27.1,121.8,2.0237,777909,0.0052,MPEC 2018-E10,http://www.minorplanetcenter.net/mpec/K18/K18E10.html,,,,,,,,,
2014 SU223,27,122.03,2.0276,779405,0.00521,MPEC 2014-S95,http://www.minorplanetcenter.net/mpec/K14/K14S95.html,,,,,,,,,
2015 HE183,28.1,122.03,2.0276,779405,0.00521,MPEC 2015-L13,http://www.minorplanetcenter.net/mpec/K15/K15L13.html,,,,,,,,,
2006 DO62,28.5,123.2,2.047,786885,0.00526,MPEC 2006-D52,http://www.minorplanetcenter.net/mpec/K06/K06D52.html,,,,,,,,,
2018 KS,27.9,123.44,2.0509,788381,0.00527,MPEC 2018-K35,http://www.minorplanetcenter.net/mpec/K18/K18K35.html,,,,,,,,,
2001 WJ4,27.4,123.67,2.0548,789877,0.00528,MPEC 2001-W48,http://www.minorplanetcenter.net/mpec/K01/K01W48.html,,,,,,,,,
2013 KA,28,123.67,2.0548,789877,0.00528,MPEC 2013-K33,http://www.minorplanetcenter.net/mpec/K13/K13K33.html,,,,,,,,,
2004 VM24,25.5,123.9,2.0587,791373,0.00529,MPEC 2004-V50,http://www.minorplanetcenter.net/mpec/K04/K04V50.html,,,,,,,,,
2018 XB,28.4,124.37,2.0665,794365,0.00531,MPEC 2018-X40,http://www.minorplanetcenter.net/mpec/K18/K18X40.html,,,,,,,,,
2016 CC136,28.8,124.61,2.0704,795861,0.00532,MPEC 2016-C17,http://www.minorplanetcenter.net/mpec/K16/K16C17.html,,,,,,,,,
2004 PU42,27,125.54,2.086,801845,0.00536,MPEC 2004-P47,http://www.minorplanetcenter.net/mpec/K04/K04P47.html,,,,,,,,,
2017 DF,26.6,125.54,2.086,801845,0.00536,MPEC 2017-D90,http://www.minorplanetcenter.net/mpec/K17/K17D90.html,,,,,,,,,
2007 GU1,24.7,127.42,2.1171,813812,0.00544,MPEC 2007-G28,http://www.minorplanetcenter.net/mpec/K07/K07G28.html,,,,,,,,,
2005 VO,27.8,127.65,2.121,815308,0.00545,MPEC 2005-V40,http://www.minorplanetcenter.net/mpec/K05/K05V40.html,,,,,,,,,
2019 FR2,27.6,127.89,2.1249,816804,0.00546,MPEC 2019-G09,http://www.minorplanetcenter.net/mpec/K19/K19G09.html,,,,,,,,,
2014 EU,27.7,128.12,2.1288,818300,0.00547,MPEC 2014-F70,http://www.minorplanetcenter.net/mpec/K14/K14F70.html,,,,,,,,,
2018 CM,27.8,128.12,2.1288,818300,0.00547,MPEC 2018-C22,http://www.minorplanetcenter.net/mpec/K18/K18C22.html,,,,,,,,,
2014 HU46,27.8,128.82,2.1404,822788,0.0055,MPEC 2014-U31,http://www.minorplanetcenter.net/mpec/K14/K14U31.html,,,,,,,,,
2009 BE,26,129.06,2.1443,824284,0.00551,MPEC 2009-B15,http://www.minorplanetcenter.net/mpec/K09/K09B15.html,,,,,,,,,
2015 FC345,27.8,129.99,2.1599,830268,0.00555,MPEC 2015-H11,http://www.minorplanetcenter.net/mpec/K15/K15H11.html,,,,,,,,,
2017 EJ1,27.7,130.23,2.1638,831764,0.00556,MPEC 2017-E84,http://www.minorplanetcenter.net/mpec/K17/K17E84.html,,,,,,,,,
2015 DY198,26.6,130.46,2.1677,833260,0.00557,MPEC 2015-D99,http://www.minorplanetcenter.net/mpec/K15/K15D99.html,,,,,,,,,
2016 SX1,28.6,131.16,2.1794,837748,0.0056,MPEC 2016-T01,http://www.minorplanetcenter.net/mpec/K16/K16T01.html,,,,,,,,,
2016 KO,26.5,131.4,2.1833,839244,0.00561,MPEC 2016-M15,http://www.minorplanetcenter.net/mpec/K16/K16M15.html,,,,,,,,,
2010 RS80,26.4,131.63,2.1871,840740,0.00562,MPEC 2010-R101,http://www.minorplanetcenter.net/mpec/K10/K10RA1.html,,,,,,,,,
2008 HC38,26.1,131.87,2.191,842236,0.00563,MPEC 2008-J13,http://www.minorplanetcenter.net/mpec/K08/K08J13.html,,,,,,,,,
2010 RM82,25.7,131.87,2.191,842236,0.00563,MPEC 2010-R104,http://www.minorplanetcenter.net/mpec/K10/K10RA4.html,,,,,,,,,
2013 HT14,26.2,132.57,2.2027,846724,0.00566,MPEC 2013-H39,http://www.minorplanetcenter.net/mpec/K13/K13H39.html,,,,,,,,,
2016 AM2,26.9,132.8,2.2066,848220,0.00567,MPEC 2016-A38,http://www.minorplanetcenter.net/mpec/K16/K16A38.html,,,,,,,,,
2017 AP4,26.9,134.44,2.2338,858692,0.00574,MPEC 2017-E84,http://www.minorplanetcenter.net/mpec/K17/K17E84.html,,,,,,,,,
2014 KO62,26.2,134.68,2.2377,860188,0.00575,MPEC 2014-L58,http://www.minorplanetcenter.net/mpec/K14/K14L58.html,,,,,,,,,
2018 DB,27.6,135.15,2.2455,863180,0.00577,MPEC 2018-D25,http://www.minorplanetcenter.net/mpec/K18/K18D25.html,,,,,,,,,
2005 XX,26.8,135.38,2.2494,864676,0.00578,MPEC 2005-X17,http://www.minorplanetcenter.net/mpec/K05/K05X17.html,,,,,,,,,
2015 CP,26.3,135.38,2.2494,864676,0.00578,MPEC 2015-C43,http://www.minorplanetcenter.net/mpec/K15/K15C43.html,,,,,,,,,
2015 XT378,27.9,135.38,2.2494,864676,0.00578,MPEC 2015-Y10,http://www.minorplanetcenter.net/mpec/K15/K15Y10.html,,,,,,,,,
2017 YD2,28.7,135.38,2.2494,864676,0.00578,MPEC 2017-Y83,http://www.minorplanetcenter.net/mpec/K17/K17Y83.html,,,,,,,,,
2014 OX3,27.8,135.61,2.2533,866172,0.00579,MPEC 2014-P37,http://www.minorplanetcenter.net/mpec/K14/K14P37.html,,,,,,,,,
2015 FQ35,25.6,136.08,2.2611,869164,0.00581,MPEC 2015-R05,http://www.minorplanetcenter.net/mpec/K15/K15R05.html,,,,,,,,,
2009 UE,25.1,136.79,2.2728,873652,0.00584,MPEC 2009-U11,http://www.minorplanetcenter.net/mpec/K09/K09U11.html,,,,,,,,,
2013 RM73,26.7,137.02,2.2767,875148,0.00585,MPEC 2013-S18,http://www.minorplanetcenter.net/mpec/K13/K13S18.html,,,,,,,,,
2018 US1,27.1,137.02,2.2767,875148,0.00585,MPEC 2018-U55,http://www.minorplanetcenter.net/mpec/K18/K18U55.html,,,,,,,,,
2008 ST7,24,137.25,2.2806,876644,0.00586,MPEC 2008-S56,http://www.minorplanetcenter.net/mpec/K08/K08S56.html,,,,,,,,,
2018 DR,27.3,137.49,2.2844,878139,0.00587,MPEC 2018-D47,http://www.minorplanetcenter.net/mpec/K18/K18D47.html,,,,,,,,,
2013 YD,23.6,138.19,2.2961,882627,0.0059,MPEC 2014-A26,http://www.minorplanetcenter.net/mpec/K14/K14A26.html,,,,,,,,,
2006 UU17,26.3,138.43,2.3,884123,0.00591,MPEC 2006-U41,http://www.minorplanetcenter.net/mpec/K06/K06U41.html,,,,,,,,,
2016 TA,26.3,138.43,2.3,884123,0.00591,MPEC 2016-T21,http://www.minorplanetcenter.net/mpec/K16/K16T21.html,,,,,,,,,
