Provisional designation,"Absolute magnitude, H",Distance ER,Distance LD,Distance km,Distance AU,Refernce,Ref URL,,,,,,,,,
2018 BN6,26.8,56.92,0.9457,363523,0.00243,MPEC 2018-B15,http://www.minorplanetcenter.net/mpec/K18/K18B15.html,,,,,,,,,
2004 ST26,26.3,57.62,0.9574,368011,0.00246,MPEC 2004-S55,http://www.minorplanetcenter.net/mpec/K04/K04S55.html,,,,,,,,,
2013 EC,27.8,57.62,0.9574,368011,0.00246,MPEC 2013-F09,http://www.minorplanetcenter.net/mpec/K13/K13F09.html,,,,,,,,,
2007 UO6,27.3,57.85,0.9613,369507,0.00247,MPEC 2007-U56,http://www.minorplanetcenter.net/mpec/K07/K07U56.html,,,,,,,,,
2008 AF3,26.5,58.79,0.9768,375491,0.00251,MPEC 2008-A39,http://www.minorplanetcenter.net/mpec/K08/K08A39.html,,,,,,,,,
2014 WX202,29.6,58.79,0.9768,375491,0.00251,MPEC 2014-X45,http://www.minorplanetcenter.net/mpec/K14/K14X45.html,,,,,,,,,
2015 FU344,31,59.96,0.9963,382971,0.00256,MPEC 2015-H11,http://www.minorplanetcenter.net/mpec/K15/K15H11.html,,,,,,,,,
2018 RR1,29.9,59.96,0.9963,382971,0.00256,MPEC 2018-R64,http://www.minorplanetcenter.net/mpec/K18/K18R64.html,,,,,,,,,
2008 CE22,26.4,60.2,1.0002,384467,0.00257,MPEC 2008-C56,http://www.minorplanetcenter.net/mpec/K08/K08C56.html,,,,,,,,,
2010 DJ1,26.8,60.43,1.0041,385963,0.00258,MPEC 2010-D43,http://www.minorplanetcenter.net/mpec/K10/K10D43.html,,,,,,,,,
2018 XP2,28.1,60.66,1.008,387458,0.00259,MPEC 2018-X93,http://www.minorplanetcenter.net/mpec/K18/K18X93.html,,,,,,,,,
2017 KQ27,25.6,61.37,1.0196,391946,0.00262,MPEC 2017-K69,http://www.minorplanetcenter.net/mpec/K17/K17K69.html,,,,,,,,,
2017 QQ17,28.1,61.37,1.0196,391946,0.00262,MPEC 2017-Q12,http://www.minorplanetcenter.net/mpec/K17/K17Q12.html,,,,,,,,,
2015 VO142,29,61.6,1.0235,393442,0.00263,MPEC 2016-O28,http://www.minorplanetcenter.net/mpec/K16/K16O28.html,,,,,,,,,
2013 EB,27.2,61.83,1.0274,394938,0.00264,MPEC 2013-F09,http://www.minorplanetcenter.net/mpec/K13/K13F09.html,,,,,,,,,
2016 DV1,24.8,62.07,1.0313,396434,0.00265,MPEC 2016-G13,http://www.minorplanetcenter.net/mpec/K16/K16G13.html,,,,,,,,,
2010 WK1,28.2,63.24,1.0508,403914,0.0027,MPEC 2010-W42,http://www.minorplanetcenter.net/mpec/K10/K10W42.html,,,,,,,,,
2013 QP48,27.8,63.24,1.0508,403914,0.0027,MPEC 2013-R32,http://www.minorplanetcenter.net/mpec/K13/K13R32.html,,,,,,,,,
2012 AP10,26.2,63.47,1.0547,405410,0.00271,MPEC 2012-A48,http://www.minorplanetcenter.net/mpec/K12/K12A48.html,,,,,,,,,
2017 YJ1,27.7,63.47,1.0547,405410,0.00271,MPEC 2017-Y71,http://www.minorplanetcenter.net/mpec/K17/K17Y71.html,,,,,,,,,
2009 HW67,26.1,64.18,1.0663,409898,0.00274,MPEC 2009-H73,http://www.minorplanetcenter.net/mpec/K09/K09H73.html,,,,,,,,,
2017 UW5,28.7,64.88,1.078,414386,0.00277,MPEC 2017-U22,http://www.minorplanetcenter.net/mpec/K17/K17U22.html,,,,,,,,,
2014 YW14,27.6,65.11,1.0819,415882,0.00278,MPEC 2014-Y69,http://www.minorplanetcenter.net/mpec/K14/K14Y69.html,,,,,,,,,
2014 FE,27.3,66.52,1.1052,424858,0.00284,MPEC 2014-O26,http://www.minorplanetcenter.net/mpec/K14/K14O26.html,,,,,,,,,
2017 NT5,22.9,66.99,1.113,427850,0.00286,MPEC 2017-N73,http://www.minorplanetcenter.net/mpec/K17/K17N73.html,,,,,,,,,
2017 BA7,28.1,67.46,1.1208,430842,0.00288,MPEC 2017-B13,http://www.minorplanetcenter.net/mpec/K17/K17B13.html,,,,,,,,,
2006 JY26,28.8,67.92,1.1286,433834,0.0029,MPEC 2006-J38,http://www.minorplanetcenter.net/mpec/K06/K06J38.html,,,,,,,,,
2014 KH39,26.2,68.86,1.1442,439818,0.00294,MPEC 2014-Q17,http://www.minorplanetcenter.net/mpec/K14/K14Q17.html,,,,,,,,,
2012 FA57,25.9,69.1,1.1481,441314,0.00295,MPEC 2012-F103,http://www.minorplanetcenter.net/mpec/K12/K12FA3.html,,,,,,,,,
2015 HQ171,26.9,69.8,1.1597,445802,0.00298,MPEC 2015-J05,http://www.minorplanetcenter.net/mpec/K15/K15J05.html,,,,,,,,,
2013 QM48,27.4,70.03,1.1636,447298,0.00299,MPEC 2013-R97,http://www.minorplanetcenter.net/mpec/K13/K13R97.html,,,,,,,,,
2018 VV3,26.2,70.03,1.1636,447298,0.00299,MPEC 2018-V87,http://www.minorplanetcenter.net/mpec/K18/K18V87.html,,,,,,,,,
2017 UP43,26.5,70.27,1.1675,448794,0.003,MPEC 2017-U29,http://www.minorplanetcenter.net/mpec/K17/K17U29.html,,,,,,,,,
2014 WU200,29.1,70.5,1.1714,450290,0.00301,MPEC 2015-A22,http://www.minorplanetcenter.net/mpec/K15/K15A22.html,,,,,,,,,
2006 BH99,27.3,70.97,1.1792,453282,0.00303,MPEC 2006-B85,http://www.minorplanetcenter.net/mpec/K06/K06B85.html,,,,,,,,,
2016 RE34,28.3,71.44,1.187,456274,0.00305,MPEC 2016-R16,http://www.minorplanetcenter.net/mpec/K16/K16R16.html,,,,,,,,,
2019 GK21,25.6,71.44,1.187,456274,0.00305,MPEC 2019-H35,http://www.minorplanetcenter.net/mpec/K19/K19H35.html,,,,,,,,,
2003 XV,26.7,71.67,1.1909,457769,0.00306,MPEC 2003-X28,http://www.minorplanetcenter.net/mpec/K03/K03X28.html,,,,,,,,,
2012 HG2,27,71.91,1.1948,459265,0.00307,MPEC 2012-H35,http://www.minorplanetcenter.net/mpec/K12/K12H35.html,,,,,,,,,
2017 UA,28.7,71.91,1.1948,459265,0.00307,MPEC 2017-U30,http://www.minorplanetcenter.net/mpec/K17/K17U30.html,,,,,,,,,
2018 BP3,28.6,71.91,1.1948,459265,0.00307,MPEC 2018-B10,http://www.minorplanetcenter.net/mpec/K18/K18B10.html,,,,,,,,,
2012 BL14,28.2,72.14,1.1987,460761,0.00308,MPEC 2012-B47,http://www.minorplanetcenter.net/mpec/K12/K12B47.html,,,,,,,,,
2013 CL22,24.7,72.14,1.1987,460761,0.00308,MPEC 2013-E69,http://www.minorplanetcenter.net/mpec/K13/K13E69.html,,,,,,,,,
2017 FL101,25.6,72.37,1.2025,462257,0.00309,MPEC 2017-F21,http://www.minorplanetcenter.net/mpec/K17/K17F21.html,,,,,,,,,
2014 QP434,27.8,72.61,1.2064,463753,0.0031,MPEC 2014-R85,http://www.minorplanetcenter.net/mpec/K14/K14R85.html,,,,,,,,,
