,name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
1063,Weston,24249,Valid,H4,150000.0,Fell,1807.0,41.266667,-73.266667,"(41.266667, -73.266667)"
1064,Wethersfield (1971),24250,Valid,L6,350.0,Fell,1971.0,41.7,-72.65,"(41.700000, -72.650000)"
1065,Wethersfield (1982),24251,Valid,L6,2756.0,Fell,1982.0,41.71056,-72.67361,"(41.710560, -72.673610)"
1066,Whetstone Mountains,49514,Valid,H5,2138.74,Fell,2009.0,31.96185,-110.434183,"(31.961850, -110.434183)"
1067,Wiluna,24281,Valid,H5,150000.0,Fell,1967.0,-26.592779999999998,120.32833000000001,"(-26.592780, 120.328330)"
1068,Witklip Farm,24321,Valid,H5,22.0,Fell,1918.0,-26.0,30.0,"(-26.000000, 30.000000)"
1069,Witsand Farm,24322,Valid,LL4,66.0,Fell,1932.0,-28.66667,18.91667,"(-28.666670, 18.916670)"
1070,Wittekrantz,24323,Valid,L5,2200.0,Fell,1880.0,-32.5,23.0,"(-32.500000, 23.000000)"
1071,Wolamo,24324,Valid,OC,166.4,Fell,1964.0,9.0,39.0,"(9.000000, 39.000000)"
1072,Wold Cottage,24325,Valid,L6,25000.0,Fell,1795.0,54.136669999999995,-0.41333000000000003,"(54.136670, -0.413330)"
1073,Woolgorong,24334,Valid,L6,36000.0,Fell,1960.0,-27.75,115.83333,"(-27.750000, 115.833330)"
1074,Worden,24337,Valid,L5,1551.0,Fell,1997.0,42.38467,-83.6115,"(42.384670, -83.611500)"
1075,Wuan,24340,Valid,H6,50000.0,Fell,1986.0,36.75,114.25,"(36.750000, 114.250000)"
1076,Wuzhi,24342,Valid,Stone-uncl,,Fell,1931.0,35.13333,113.33333,"(35.133330, 113.333330)"
1077,Xi Ujimgin,24345,Valid,L/LL6-an,5900.0,Fell,1980.0,44.66667,117.5,"(44.666670, 117.500000)"
1078,Xingyang,24346,Valid,H6,75500.0,Fell,1977.0,32.33333,114.31667,"(32.333330, 114.316670)"
1079,Yafa,24351,Valid,H5,5700.0,Fell,2000.0,13.711110000000001,45.17,"(13.711110, 45.170000)"
1080,Yambo,30345,Valid,H5,4.0,Fell,1951.0,1.0,22.5,"(1.000000, 22.500000)"
1081,Yangchiang,30348,Valid,H5,20000.0,Fell,1954.0,21.83333,111.83333,"(21.833330, 111.833330)"
1082,Yanzhuang,30350,Valid,H6,3500.0,Fell,1990.0,24.566670000000002,114.16667,"(24.566670, 114.166670)"
1083,Yardymly,30352,Valid,"Iron, IAB complex",150200.0,Fell,1959.0,38.93333,48.25,"(38.933330, 48.250000)"
1084,Yatoor,30358,Valid,H5,13600.0,Fell,1852.0,14.3,79.76666999999999,"(14.300000, 79.766670)"
1085,Yonozu,30366,Valid,H4/5,31650.0,Fell,1837.0,37.75,139.0,"(37.750000, 139.000000)"
1086,Yorktown (New York),30370,Valid,L5,250.0,Fell,1869.0,41.28333,-73.81667,"(41.283330, -73.816670)"
1087,Yoshiki,30372,Valid,Stone-uncl,0.1,Fell,1928.0,34.16667,131.45,"(34.166670, 131.450000)"
1088,Yukan,30377,Valid,LL6,4800.0,Fell,1931.0,28.71667,116.61667,"(28.716670, 116.616670)"
1089,Yurtuk,30378,Valid,Howardite,1472.0,Fell,1936.0,47.31667,35.36667,"(47.316670, 35.366670)"
1090,Zaborzika,30379,Valid,L6,3867.0,Fell,1818.0,50.28333,27.683329999999998,"(50.283330, 27.683330)"
1091,Zabrodje,30380,Valid,L6,3000.0,Fell,1893.0,55.183330000000005,27.91667,"(55.183330, 27.916670)"
1092,Zag,30384,Valid,H3-6,175000.0,Fell,1998.0,27.33333,-9.33333,"(27.333330, -9.333330)"
1093,Zagami,30386,Valid,Martian (shergottite),18000.0,Fell,1962.0,11.73333,7.08333,"(11.733330, 7.083330)"
1094,Zaisan,30388,Valid,H5,463.0,Fell,1963.0,47.5,83.0,"(47.500000, 83.000000)"
1095,Zaisho,30389,Valid,"Pallasite, PMG-an",330.0,Fell,1898.0,33.7,133.8,"(33.700000, 133.800000)"
1096,Zaoyang,30391,Valid,H5,14250.0,Fell,1984.0,32.3,112.75,"(32.300000, 112.750000)"
1097,Zavetnoe,30395,Valid,L6,800.0,Fell,1952.0,47.13333,43.9,"(47.133330, 43.900000)"
1098,Zavid,30396,Valid,L6,95000.0,Fell,1897.0,44.4,19.116670000000003,"(44.400000, 19.116670)"
1099,Zebrak,30397,Valid,H5,2000.0,Fell,1824.0,49.88333,13.916670000000002,"(49.883330, 13.916670)"
1100,Zemaitkiemis,30399,Valid,L6,44100.0,Fell,1933.0,55.3,25.0,"(55.300000, 25.000000)"
1101,Zhaodong,30404,Valid,L4,42000.0,Fell,1984.0,45.81667,125.91667,"(45.816670, 125.916670)"
1102,Zhovtnevyi,30407,Valid,H6,107000.0,Fell,1938.0,47.58333,37.25,"(47.583330, 37.250000)"
1103,Zhuanghe,30408,Valid,H5,2900.0,Fell,1976.0,39.66667,122.98333000000001,"(39.666670, 122.983330)"
1104,Zmenj,30411,Valid,Howardite,246.0,Fell,1858.0,51.83333,26.83333,"(51.833330, 26.833330)"
1105,Zomba,30412,Valid,L6,7500.0,Fell,1899.0,-15.183329999999998,35.28333,"(-15.183330, 35.283330)"
1106,Zsadany,30413,Valid,H5,552.0,Fell,1875.0,46.93333,21.5,"(46.933330, 21.500000)"
1107,Zvonkov,30415,Valid,H6,2568.0,Fell,1955.0,50.2,30.25,"(50.200000, 30.250000)"
